ID Pen Trait_1 Trait_2 Trait_3 Trait_4
F1971_4 20 0.320406527460606 -0.437872361307983 0 -0.302879204741289
F2500_4 20 -0.400461944945395 -0.204178457413445 0 -0.305726354859283
F974_4 20 -0.600505616038089 -1.16691416746816 0 -0.51498872548236
M1191_4 20 -0.0143180889369532 -0.237880585124592 0 0.758580874106445
M2017_4 20 -0.511529701586725 -0.424699845606129 0 -0.76722733894094
M2492_4 20 -0.304598334493856 0.419262215074452 0 0.488040739935283
M291_4 20 0.232564948273888 0.998849166820921 0 1.39640551149743
M731_4 20 -0.270233843821216 -0.461831246478402 0 -0.438797769388123
M966_4 20 0.810771804799037 0.516599949700574 0 0.288014982824135
F1179_4 21 -0.616621003256154 0.107958425443389 0 0.632669371835496
F1625_4 21 0.0796426122421137 -0.340303561299214 0 0.536296316636314
F1790_4 21 -0.21859021642794 -0.147313975067398 0 0.0933985248233238
F184_4 21 -0.607899449650682 0.501793479473215 0 0.263508541002825
F1949_4 21 0.0826654472735784 0.379108242125671 0 0.52733192117016
F353_4 21 -0.345955430303409 -0.571478740894574 0 -0.134879396184735
F588_4 21 -0.0904099632591809 -0.704246416676018 0 -0.0836126596047373
F618_4 21 0.500160983277845 0.0425243264328119 0 -0.533997472816881
F84_4 21 0.374425321257198 -0.832903193412442 0 0.402779884426874
M247_4 21 0.245798813349771 0.733201551613447 0 0.334188334113208
M2482_4 21 0.404516660620508 -0.792732823933551 0 0.326662486827303
M2722_4 21 -0.711926324758223 -0.360722069126334 0 0.919311966851645
M56_4 21 0.303770809479128 -0.331481282079084 0 0.346742640883116
M934_4 21 -0.0564753826027695 0.917186683603706 0 -0.635429075885623
F1356_4 22 -0.656467726689354 0.266872390657831 0 0.621091009928035
F1457_4 22 0.244422315842877 -0.346259553736204 0 -0.0478408846302677
F1477_4 22 0.398022687715255 0.358495778331636 0 -0.169168646569103
F1556_4 22 -0.917308425705167 0.3032416711118 0 0.193944032265426
F166_4 22 0.0115346344086096 -0.207687626360833 0 0.427657704727306
F2323_4 22 0.624491700561735 -0.764722046768026 0 -0.78262904207787
F2453_4 22 -0.672045026869964 0.988871463608787 0 -0.806091785127998
F2508_4 22 0.178441668647715 0.791870472552975 0 -0.504150534901915
F752_4 22 0.357690753913067 0.578055934972679 0 0.233740201371038
M127_4 22 0.304243131121447 -0.29413729330764 0 -1.10322585745629
M2152_4 22 -0.30773842367102 0.356537654654991 0 -0.348441956108927
M2432_4 22 0.227155824351669 0.578866517860779 0 0.143270669537697
M2496_4 22 -0.034503216756267 -0.302498903082154 0 0.604029302659434
M717_4 22 -0.511248618976544 0.0689984807791078 0 0.975447258282937
F1197_4 23 0.219235486253972 -0.579352199043469 0 0.26276518481611
F1404_4 23 0.0920755722311089 0.640688584608553 0 0.257310277668062
F1446_4 23 0.332102728586153 0.122161765913496 0 0.627918402689334
F1587_4 23 0.419254004704507 0.844989134894184 0 -0.23359815926588
F15_4 23 -0.229304398024754 -0.62052398595339 0 -0.454532634727661
F1907_4 23 0.793787877729374 -0.282842069596832 0 0.747846684007207
M121_4 23 -0.123001218498446 -0.411330327955379 0 0.189248500832188
M1452_4 23 -0.162846038177835 0.403222276249066 0 0.540340704790834
M148_4 23 0.56767898759089 0.881747717394444 0 0.877136751991024
M1491_4 23 0.247097256002391 0.129297675039055 0 -0.40994077464552
M169_4 23 0.607725640834581 1.06022974263636 0 0.90810210577439
M1993_4 23 0.70851661735598 -0.0826112076358939 0 0.0847484729534665
M598_4 23 0.0357564487869394 -0.59536411065057 0 0.387147555231137
M676_4 23 0.618010760091869 0.0431421872220287 0 -0.945221128474483
F1069_4 24 -0.116508905010141 0.161225975379539 0 1.05162434830209
F1292_4 24 -0.0686189719776303 0.0575445392439273 0 0.588310594060799
F1347_4 24 0.438645395304472 -0.418567634683553 0 0.352696311449464
F751_4 24 1.08342608947172 -1.21422526821866 0 0.546976249385278
F816_4 24 0.197351765808205 -0.28880202486496 0 -0.374289241637365
M1115_4 24 -0.509619255803167 -0.20530083855425 0 0.160847421315903
M1580_4 24 0.653685241213841 0.420194858942293 0 -0.243336424591674
M1783_4 24 -0.345448515563175 -0.194109355848032 0 -0.239862626748756
M2137_4 24 -0.276439936319966 0.0706595921921357 0 -0.0701967551167076
M2167_4 24 0.0572885813963606 0.213885384326832 0 0.535720656913954
M2513_4 24 -0.365961412522106 -0.0160927743431105 0 0.145436252659072
M2578_4 24 -0.0371353536104303 -0.508620609366084 0 -0.318278339858242
M436_4 24 0.272873829160364 -0.626590438741783 0 0.940586112654688
